name,trip_count,route_count,geometry
Baguru,15,5,POINT (77.84275 12.89645)
Baguru Colony,2,2,POINT (77.84648 12.89469)
Baladimmanahalli,2,2,POINT (77.74341 13.1898)
Balageranahalli Cross,12,3,POINT (77.73468 12.78744)
Balaji Badavane Sulikere,10,4,POINT (77.44331 12.93565)
Balaji Layout,22,7,POINT (77.48932 12.96005)
Balaji Layout 100ft Road,15,8,POINT (77.53984 12.87772)
Balavikas International School,85,18,POINT (77.51453 12.96696)
Balepura,24,10,POINT (77.77896 13.1992)
Balepura Gate,17,9,POINT (77.77734 13.19791)
Baleveeranahalli,10,7,POINT (77.39394 13.0186)
Baluvanahalli Cross,3,2,POINT (77.80811 13.26238)
Bamboo Bazaar,9,3,POINT (77.60402 12.99208)
Banahalli,4,1,POINT (77.9123 13.21369)
Banandur Circle,165,47,POINT (77.39844 12.77538)
Bananduru,137,28,POINT (77.39795 12.77677)
Banarahalli,156,49,POINT (77.86284 12.95716)
Banasawadi,69,11,POINT (77.65102 13.01441)
Banasawadi 100 Feet Road,4,3,POINT (77.64969 13.01508)
Banashankari,15,8,POINT (77.57373 12.91631)
Banashankari 1st Stage Muneshwara Block KEB,3,2,POINT (77.55061 12.94213)
Banashankari 3rd Stage 3rd Phase,3,2,POINT (77.5514 12.92763)
Banashankari Bus Station,115,30,POINT (77.5727 12.91736)
Banashankari Hunasemara,64,22,POINT (77.57414 12.92084)
Bandaiahanapalya,1,1,POINT (77.45279 13.17612)
Bandapura,53,21,POINT (77.72653 12.76982)
Bandapura Gate,15,4,POINT (77.74459 13.04228)
Bande Bommasandra,12,6,POINT (77.68072 13.07664)
Bande Bommasandra Cross,137,31,POINT (77.68243 13.08122)
Bande Inorpalya,131,45,POINT (77.36236 12.93666)
Bande Kodigehalli,1,1,POINT (77.69082 13.17216)
Bande Kodigehalli palya,34,11,POINT (77.7063 13.1735)
Bande Kodigehallipalya Cross,8,4,POINT (77.69107 13.17283)
Bande Maramma Bus Station,5,2,POINT (77.51591 12.96712)
Bande Mutt Badavane Radiant Enclave,4,2,POINT (77.47358 12.91277)
Bande Mutt Gate Kengeri,8,5,POINT (77.47752 12.91902)
Bande kodigehalli,113,33,POINT (77.69075 13.17202)
Bangarappa Nagara,80,18,POINT (77.52658 12.92503)
Banglow Sulikere,75,18,POINT (77.45186 12.93298)
Banjara Layout,255,36,POINT (77.66516 13.03832)
Banjarapalya,14,8,POINT (77.4857 12.83053)
Bank Amruthahalli,2,1,POINT (77.59824 13.06604)
Bank Circle Bashettyhalli,60,11,POINT (77.55271 13.258)
Bank Colony,73,24,POINT (77.55326 12.93861)
Bannerughatta Circle,32,19,POINT (77.58127 12.81368)
Bannerughatta National Park,13,7,POINT (77.57787 12.80079)
Bannigiri,6,2,POINT (77.43645 12.75687)
Bannigiri Cross,75,12,POINT (77.43325 12.74727)
Bannikuppe,30,12,POINT (77.38389 12.84702)
Bapuji Layout Saraswathi Nagara,78,21,POINT (77.52938 12.97203)
Bapujinagara,21,8,POINT (77.54182 12.95321)
Basammanahalli Cross,8,1,POINT (77.35432 12.8747)
Basappa Circle,24,6,POINT (77.57717 12.95636)
Basappa Layout Mattahalli,2,2,POINT (77.45369 13.10656)
Basappanapalya,26,16,POINT (77.50046 12.83133)
Basappanapalya Cross,85,11,POINT (77.50238 12.84255)
Basavanagara,9,4,POINT (77.68276 12.96682)
Basavanagara Kengeri,32,19,POINT (77.46736 12.90096)
Basavanagudi Police Station,45,8,POINT (77.57374 12.94158)
Basavanahalli,102,14,POINT (77.38823 13.11038)
Basavanahalli Cross,21,5,POINT (77.38869 13.10231)
Basavanapalya,274,39,POINT (77.40009 12.93227)
Basavanapura,282,44,POINT (77.3835 12.84977)
Basavanapura Church,4,1,POINT (77.5932 12.84678)
Basavanapura Gate,56,20,POINT (77.58821 12.8463)
Basavanna Devasthana CK Palya,1,1,POINT (77.60596 12.84393)
Basavanna Temple Hoovinayakanahalli,67,10,POINT (77.6886 13.16788)
Basavapatna,2,1,POINT (77.17677 12.97027)
Basavenahalli,2,1,POINT (77.31479 13.03857)
Basavenahalli Colony,12,7,POINT (77.31433 13.03605)
Basaveshwara College,22,3,POINT (77.55276 12.99436)
Basaveshwaranagara Banandur,1,1,POINT (77.40372 12.75944)
Basaveshwaranagara New Bus Stand,48,22,POINT (77.5336 12.98832)
Bashettalli,2,2,POINT (77.5526 13.26164)
Bashyam Circle,9,2,POINT (77.57862 13.00564)
Bashyam Circle Rajajinagara,84,30,POINT (77.55412 12.98391)
Bashyam Circle Sadashivanagara,9,3,POINT (77.57915 13.00628)
Bata Show Room banashankari,3,1,POINT (77.57008 12.92348)
Bayalahalli Gate(Bande kodigehalli),14,7,POINT (77.69009 13.16998)
Bayyanapalya,28,14,POINT (77.54355 12.87554)
Bayyandahalli,15,8,POINT (77.44221 13.00608)
Bayyandahalli Colony,189,50,POINT (77.44231 13.00343)
Bayyappanahalli,110,43,POINT (77.7208 13.07164)
Bayyappanahalli Cross,7,2,POINT (77.64246 12.98525)
Bayyappanahalli Metro Station,10,3,POINT (77.65404 12.98967)
Bayyappanahalli Metro Station  Back Gate,19,5,POINT (77.65212 12.99166)
Beedi Karmikara Colony,3,1,POINT (77.47146 12.92003)
Beedi Karmikara Colony Gate,53,13,POINT (77.47478 12.92237)
Beerahalli,1,1,POINT (77.91538 13.15743)
Begihalli,5,2,POINT (77.60381 12.79796)
Beguru,197,44,POINT (77.62515 12.87364)
Beguru Lake,6,3,POINT (77.62532 12.87795)
Beguru Nice Road Junction,75,18,POINT (77.60943 12.85445)
Bekary Chunchaghatta,6,4,POINT (77.57068 12.88648)
Bellahalli,19,4,POINT (77.64209 13.09913)
Bellahalli Cross,92,11,POINT (77.63606 13.10144)
Bellahalli Cross THS Main Road,21,4,POINT (77.6351 13.10113)
Bellanduru City Light Appartment,138,37,POINT (77.67278 12.92412)
Bellanduru City light Apartment,8,3,POINT (77.67394 12.92493)
Bellanduru Gate SJP Road,7,5,POINT (77.66931 12.91864)
Bellanduru Petrol Bunk,111,47,POINT (77.6702 12.92322)
Bellathur,129,18,POINT (77.75694 13.00417)
Bellikere,33,17,POINT (77.79724 12.93031)
Bellikere Cross,1,1,POINT (77.79729 12.93664)
Bendiganahalli,10,4,POINT (77.75758 13.06721)
Bendiganahalli Cross,19,9,POINT (77.83458 13.20626)
Bengaluru Central Jail,12,4,POINT (77.66638 12.87368)
Bengaluru Children Hospital1,22,8,POINT (77.51354 12.90994)
Bengaluru Dairy Circle,54,12,POINT (77.6021 12.93909)
Bengaluru High School,115,12,POINT (77.56762 12.95325)
Bengaluru University Gate,178,37,POINT (77.51282 12.93582)
Bengaluru University Quarters,45,10,POINT (77.49972 12.95176)
Benniganahalli,25,5,POINT (77.6632 12.99406)
Benniganahalli Bridge,30,10,POINT (77.66288 12.99714)
Best County,2,2,POINT (77.5447 13.08935)
Besthamanahalli,4,2,POINT (77.72666 12.73087)
Bethan Byatha,3,1,POINT (77.48137 13.19007)
Bethimgere Cross,34,12,POINT (77.36815 12.86708)
Bettadasanapura,21,4,POINT (77.63177 12.84157)
